,resolution,R-free,R-work,R-gap
BAZ2BA-x425,1.716,0.2045,0.1813,0.0232
BAZ2BA-x427,1.695,0.1985,0.1763,0.0222
BAZ2BA-x428,1.778,0.201,0.1728,0.0282
BAZ2BA-x430,1.786,0.1994,0.172,0.0274
BAZ2BA-x431,1.772,0.1973,0.1719,0.0254
BAZ2BA-x432,1.837,0.1998,0.1731,0.0267
BAZ2BA-x433,1.67,0.2007,0.1751,0.0256
BAZ2BA-x434,1.655,0.1984,0.1762,0.0222
BAZ2BA-x435,1.858,0.2022,0.1747,0.0275
BAZ2BA-x436,1.946,0.2012,0.1686,0.0326
BAZ2BA-x437,1.878,0.2086,0.1745,0.0341
BAZ2BA-x438,1.934,0.2158,0.1774,0.0384
BAZ2BA-x439,1.805,0.1936,0.1705,0.0231
BAZ2BA-x440,1.771,0.1982,0.171,0.0272
BAZ2BA-x442,1.789,0.2006,0.1721,0.0285
BAZ2BA-x443,1.884,0.2021,0.1717,0.0304
BAZ2BA-x446,1.744,0.2172,0.1901,0.0271
BAZ2BA-x447,1.838,0.1978,0.1745,0.0233
BAZ2BA-x448,1.651,0.202,0.1817,0.0203
BAZ2BA-x449,1.754,0.1963,0.174,0.0223
BAZ2BA-x451,1.699,0.2102,0.185,0.0252
BAZ2BA-x452,1.794,0.2084,0.1783,0.0301
BAZ2BA-x453,1.715,0.199,0.1759,0.0231
BAZ2BA-x454,1.794,0.196,0.1721,0.0239
BAZ2BA-x455,1.801,0.2053,0.1767,0.0286
BAZ2BA-x456,1.86,0.199,0.1696,0.0294
BAZ2BA-x457,1.85,0.2105,0.1733,0.0372
BAZ2BA-x458,1.74,0.2095,0.1815,0.028
BAZ2BA-x459,1.724,0.2001,0.1768,0.0233
BAZ2BA-x462,1.847,0.2019,0.1711,0.0308
BAZ2BA-x463,1.764,0.2194,0.1834,0.036
BAZ2BA-x464,1.841,0.2298,0.1963,0.0335
BAZ2BA-x465,1.804,0.2001,0.1724,0.0277
BAZ2BA-x467,1.835,0.2001,0.169,0.0311
BAZ2BA-x468,1.756,0.238,0.207,0.031
BAZ2BA-x469,2.165,0.2243,0.1753,0.049
BAZ2BA-x470,2.025,0.2409,0.1994,0.0415
BAZ2BA-x471,1.982,0.2249,0.1874,0.0375
BAZ2BA-x472,1.752,0.2045,0.178,0.0265
BAZ2BA-x473,1.885,0.2047,0.1704,0.0343
BAZ2BA-x474,1.975,0.2156,0.1769,0.0387
BAZ2BA-x475,1.749,0.1955,0.1714,0.0241
BAZ2BA-x476,2.189,0.2634,0.2015,0.0619
BAZ2BA-x477,1.692,0.1978,0.1746,0.0232
BAZ2BA-x478,1.836,0.2112,0.176,0.0352
BAZ2BA-x479,1.775,0.1994,0.1709,0.0285
BAZ2BA-x480,1.687,0.2013,0.1763,0.025
BAZ2BA-x481,1.649,0.2113,0.1834,0.0279
BAZ2BA-x482,2.294,0.2307,0.1837,0.047
BAZ2BA-x483,1.899,0.2022,0.1679,0.0343
BAZ2BA-x484,1.831,0.2087,0.1778,0.0309
BAZ2BA-x485,1.777,0.2085,0.1767,0.0318
BAZ2BA-x486,1.752,0.2002,0.173,0.0272
BAZ2BA-x487,1.645,0.2045,0.1795,0.025
BAZ2BA-x488,1.697,0.2024,0.1743,0.0281
BAZ2BA-x489,1.787,0.2086,0.1781,0.0305
BAZ2BA-x490,1.842,0.2024,0.1685,0.0339
BAZ2BA-x491,1.841,0.2194,0.1832,0.0362
BAZ2BA-x492,1.782,0.2027,0.1783,0.0244
BAZ2BA-x494,1.792,0.2045,0.1733,0.0312
BAZ2BA-x495,1.792,0.2062,0.1717,0.0345
BAZ2BA-x496,1.69,0.205,0.1783,0.0267
BAZ2BA-x497,1.799,0.2,0.1696,0.0304
BAZ2BA-x498,1.892,0.2052,0.1723,0.0329
BAZ2BA-x499,2.009,0.23,0.1836,0.0464
BAZ2BA-x500,1.691,0.2047,0.1773,0.0274
BAZ2BA-x501,1.706,0.1977,0.1745,0.0232
BAZ2BA-x502,1.864,0.2163,0.182,0.0343
BAZ2BA-x503,1.768,0.2043,0.1756,0.0287
BAZ2BA-x504,1.804,0.204,0.1729,0.0311
BAZ2BA-x505,1.736,0.2007,0.1768,0.0239
BAZ2BA-x506,1.767,0.1991,0.1765,0.0226
BAZ2BA-x507,1.877,0.2016,0.1727,0.0289
BAZ2BA-x508,1.676,0.1997,0.1776,0.0221
BAZ2BA-x509,1.925,0.2139,0.1827,0.0312
BAZ2BA-x510,1.628,0.2069,0.181,0.0259
BAZ2BA-x511,1.776,0.1975,0.1753,0.0222
BAZ2BA-x512,1.697,0.2011,0.1762,0.0249
BAZ2BA-x513,1.107,0.5207,0.4685,0.0522
BAZ2BA-x514,1.838,0.2026,0.17,0.0326
BAZ2BA-x515,1.739,0.2013,0.1745,0.0268
BAZ2BA-x516,1.8,0.1972,0.1708,0.0264
BAZ2BA-x518,1.707,0.1991,0.1757,0.0234
BAZ2BA-x519,1.711,0.2,0.1745,0.0255
BAZ2BA-x520,1.781,0.2031,0.172,0.0311
BAZ2BA-x521,1.703,0.2014,0.1767,0.0247
BAZ2BA-x523,2.262,0.2127,0.164,0.0487
BAZ2BA-x525,1.697,0.2022,0.1776,0.0246
BAZ2BA-x526,1.785,0.1994,0.1746,0.0248
BAZ2BA-x527,1.785,0.1993,0.1751,0.0242
BAZ2BA-x528,1.704,0.2026,0.1744,0.0282
BAZ2BA-x529,1.783,0.2014,0.1729,0.0285
BAZ2BA-x530,1.69,0.1992,0.1756,0.0236
BAZ2BA-x531,1.878,0.2061,0.1732,0.0329
BAZ2BA-x532,1.686,0.2043,0.1794,0.0249
BAZ2BA-x533,1.926,0.2129,0.1748,0.0381
BAZ2BA-x534,1.9,0.2133,0.1707,0.0426
BAZ2BA-x535,1.762,0.1992,0.1749,0.0243
BAZ2BA-x536,1.907,0.2016,0.1722,0.0294
BAZ2BA-x537,1.708,0.2077,0.181,0.0267
BAZ2BA-x538,1.771,0.2009,0.1733,0.0276
BAZ2BA-x539,1.755,0.2012,0.1732,0.028
BAZ2BA-x540,1.74,0.2,0.1742,0.0258
BAZ2BA-x541,1.651,0.2018,0.1788,0.023
BAZ2BA-x542,1.665,0.2047,0.1798,0.0249
BAZ2BA-x543,1.811,0.2132,0.1735,0.0397
BAZ2BA-x544,1.649,0.2057,0.183,0.0227
BAZ2BA-x545,1.717,0.1988,0.1757,0.0231
BAZ2BA-x546,1.646,0.2028,0.1815,0.0213
BAZ2BA-x547,2.107,0.2025,0.1721,0.0304
BAZ2BA-x548,1.846,0.2107,0.1792,0.0315
BAZ2BA-x549,1.804,0.2011,0.1712,0.0299
BAZ2BA-x550,1.747,0.2025,0.1751,0.0274
BAZ2BA-x552,1.735,0.1998,0.1763,0.0235
BAZ2BA-x553,1.686,0.2039,0.1773,0.0266
BAZ2BA-x554,1.709,0.2078,0.1808,0.027
BAZ2BA-x555,1.664,0.1987,0.1802,0.0185
BAZ2BA-x556,1.708,0.2024,0.1772,0.0252
BAZ2BA-x557,1.793,0.2078,0.1784,0.0294
BAZ2BA-x558,1.696,0.2057,0.1808,0.0249
BAZ2BA-x559,1.776,0.2091,0.1796,0.0295
BAZ2BA-x560,1.97,0.2115,0.18,0.0315
BAZ2BA-x561,1.715,0.2111,0.18,0.0311
BAZ2BA-x562,2.386,0.2459,0.1778,0.0681
BAZ2BA-x563,1.698,0.2092,0.1831,0.0261
BAZ2BA-x564,1.749,0.2019,0.1753,0.0266
BAZ2BA-x575,1.835,0.2067,0.1782,0.0285
BAZ2BA-x577,2.001,0.2146,0.1704,0.0442
BAZ2BA-x578,1.802,0.2021,0.1713,0.0308
BAZ2BA-x579,1.717,0.2029,0.1793,0.0236
BAZ2BA-x580,1.903,0.212,0.1757,0.0363
BAZ2BA-x581,1.811,0.2019,0.1761,0.0258
BAZ2BA-x582,1.774,0.2088,0.178,0.0308
BAZ2BA-x583,1.801,0.2097,0.1795,0.0302
BAZ2BA-x584,1.795,0.2015,0.1774,0.0241
BAZ2BA-x585,1.796,0.2185,0.1857,0.0328
BAZ2BA-x586,1.7,0.2038,0.1775,0.0263
BAZ2BA-x589,1.947,0.2075,0.1703,0.0372
BAZ2BA-x590,1.781,0.2101,0.1839,0.0262
BAZ2BA-x592,1.886,0.2047,0.174,0.0307
BAZ2BA-x593,1.826,0.2047,0.172,0.0327
BAZ2BA-x594,2.013,0.2239,0.1846,0.0393
BAZ2BA-x595,1.713,0.2051,0.1788,0.0263
BAZ2BA-x596,1.749,0.2443,0.2075,0.0368
BAZ2BA-x598,1.795,0.2041,0.1767,0.0274
BAZ2BA-x599,1.78,0.2075,0.1769,0.0306
BAZ2BA-x600,1.915,0.2016,0.1693,0.0323
BAZ2BA-x601,1.648,0.1999,0.1777,0.0222
BAZ2BA-x602,1.802,0.2192,0.1838,0.0354
BAZ2BA-x603,1.749,0.2076,0.1762,0.0314
BAZ2BA-x604,1.877,0.2075,0.1759,0.0316
BAZ2BA-x605,1.787,0.2003,0.1716,0.0287
BAZ2BA-x606,1.962,0.2084,0.1693,0.0391
BAZ2BA-x608,1.677,0.1995,0.1784,0.0211
BAZ2BA-x609,1.659,0.2021,0.1786,0.0235
BAZ2BA-x610,1.657,0.2003,0.1785,0.0218
BAZ2BA-x611,2.067,0.2085,0.1647,0.0438
BAZ2BA-x612,1.711,0.208,0.1786,0.0294
BAZ2BA-x613,1.538,0.205,0.1877,0.0173
BAZ2BA-x614,1.72,0.2127,0.1808,0.0319
BAZ2BA-x615,1.818,0.205,0.172,0.033
BAZ2BA-x616,1.652,0.2027,0.1782,0.0245
BAZ2BA-x617,1.778,0.2062,0.1754,0.0308
BAZ2BA-x618,1.891,0.201,0.1664,0.0346
BAZ2BA-x619,1.999,0.2469,0.2002,0.0467
BAZ2BA-x620,2.016,0.215,0.1728,0.0422
BAZ2BA-x621,1.749,0.2152,0.1808,0.0344
BAZ2BA-x639,1.722,0.2067,0.1804,0.0263
BAZ2BA-x640,1.635,0.2117,0.1858,0.0259
BAZ2BA-x641,1.896,0.2047,0.1745,0.0302
BAZ2BA-x642,1.647,0.2082,0.1837,0.0245
BAZ2BA-x643,1.719,0.2091,0.1795,0.0296
BAZ2BA-x644,1.709,0.205,0.1798,0.0252
BAZ2BA-x645,1.49,0.2357,0.2032,0.0325
BAZ2BA-x646,1.677,0.2091,0.1846,0.0245
BAZ2BA-x647,1.662,0.2142,0.1889,0.0253
BAZ2BA-x648,2.489,0.2528,0.177,0.0758
BAZ2BA-x649,1.753,0.209,0.1853,0.0237
BAZ2BA-x650,1.648,0.2007,0.1782,0.0225
BAZ2BA-x651,1.961,0.2119,0.1765,0.0354
BAZ2BA-x652,1.691,0.21,0.1823,0.0277
BAZ2BA-x653,1.623,0.2026,0.1778,0.0248
BAZ2BA-x654,1.587,0.2111,0.1841,0.027
BAZ2BA-x655,1.571,0.2091,0.1806,0.0285
BAZ2BA-x657,1.613,0.2267,0.1951,0.0316
BAZ2BA-x659,1.792,0.2084,0.1811,0.0273
BAZ2BA-x660,1.696,0.209,0.1819,0.0271
BAZ2BA-x661,1.819,0.2031,0.1745,0.0286
BAZ2BA-x662,1.684,0.214,0.1832,0.0308
BAZ2BA-x665,1.931,0.2086,0.1712,0.0374
BAZ2BA-x666,1.877,0.235,0.1946,0.0404
BAZ2BA-x667,1.58,0.2091,0.1828,0.0263
BAZ2BA-x668,1.826,0.2029,0.1745,0.0284
BAZ2BA-x669,2.229,0.2509,0.2093,0.0416
BAZ2BA-x670,1.788,0.2052,0.1772,0.028
BAZ2BA-x671,1.881,0.2073,0.1729,0.0344
BAZ2BA-x674,1.763,0.2141,0.1841,0.03
BAZ2BA-x675,1.71,0.2127,0.1845,0.0282
BAZ2BA-x676,2.0,0.2126,0.1735,0.0391
BAZ2BA-x677,1.638,0.205,0.1848,0.0202
BAZ2BA-x678,1.718,0.2072,0.1798,0.0274
